Tahun ,PDB Triwulan , Pengeluaran Konsumsi Rumahtangga," Makanan dan Minuman, Selain Restoran"," Pakaian, Alas Kaki dan Jasa Perawatannya", Perumahan dan Perlengkapan Rumahtangga, Kesehatan dan Pendidikan, Transportasi dan Komunikasi, Restoran dan Hotel, Lainnya, Pengeluaran Konsumsi LNPRT, Pengeluaran Konsumsi Pemerintah, Konsumsi Kolektif, Konsumsi Individu, Pembentukan Modal Tetap Domestik Bruto, Bangunan, Mesin dan Perlengkapan, Kendaraan, Peralatan Lainnya, CBR, Produk Kekayaan Intelektual, Perubahan Inventori, Ekspor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa, Dikurangi Impor Barang dan Jasa, Barang, Barang Non-migas, Barang migas, Jasa,#VALUE!, PRODUK DOMESTIK BRUTO
2010,Triwulan I,926097.5,359662.22,37377.43,125337.42,61439.94,218505.28,82558.23,41216.99,17615.77,101960.02,64528.24,37431.79,502873.55,379699.3,49206.09,29429.4,6949.25,26425.76,11163.76,25406.36,394901.82,360918.54,303239.85,57678.69,33983.28,349673.83,290341.77,230406.12,59935.65,59332.06,23175.11,1642356.3
2011,Triwulan I,964261.9,363670.38,39343.59,129959.07,64783.33,231997.69,84904.49,49603.35,18435.36,110554.7,71815.26,38739.44,546295.29,401372.53,61229.3,30205.87,8272.62,30150.64,15064.33,63971.24,439727.76,399960.97,335542.23,64418.74,39766.78,399021.5,337364.88,273958.9,63405.98,61656.62,4506.45,1748731.2
2012,Triwulan I,1017752.39,378037.27,41828.68,137645.4,68648.19,247354.46,91458.41,52779.98,19578.39,119114.28,74497.39,44616.89,584460.64,423271.62,72145.78,39037.07,8558.88,29059.47,12387.82,82372.21,469816.46,424097.87,349974.08,74123.79,45718.59,443128.64,377203.04,306629.06,70573.98,65925.6,5614.47,1855580.2
2013,Triwulan I,1075566.19,393928.44,44187.05,147141.16,72740.08,264218.29,96787.11,56564.06,20854,122652,76137.59,46514.41,628573.64,457181.25,74977.52,39747.32,9092.81,32873.85,14700.89,60975.81,486240.56,438768.15,378883.03,59885.12,47472.41,456061.85,389257.48,306712.63,82544.85,66804.37,19595.15,1958395.5
2014,Triwulan I,1131854.55,410973.46,46471.1,155560.17,76980.09,278595.95,103762.72,59511.07,25682,130084.23,80097.63,49986.61,662774.26,482360.17,74312.58,37622.96,9491.22,40229.04,18758.29,57527.38,501516.86,451921.2,397493.25,54427.95,49595.66,479140.28,413339.92,335161.75,78178.18,65800.35,28285.9,2058584.9
2015,Triwulan I,1188361.91,433070,48367.46,162917.24,81277.97,292371.54,108923.75,61433.96,23612.49,133876.55,81976.77,51899.78,693216.77,509890.87,73414.31,35748.15,10158.38,43842.44,20162.62,55061.13,498372.62,450378.55,388995.57,61382.98,47994.08,466762.94,402497.99,325250.81,77247.18,64264.95,32301.47,2158040
2016,Triwulan I,1247309.52,455811.25,49913.98,170841.51,85669.83,307373.81,114753.86,62945.29,25126.25,138468.21,84930.63,53537.58,725586.64,544473.37,67371.62,35667.03,12837.44,44837.32,20399.85,53056.15,483046.66,431004.76,366884.88,64119.88,52041.91,443518.14,382055.39,303108.1,78947.29,61462.76,35645.71,2264721
2017,Triwulan I,1308761.65,479197.04,51573.29,177712.27,90929.28,323737.42,121105.38,64506.97,27155.66,142182.68,86516.36,55666.33,760189.98,576435.92,68189.1,44690.45,12769.93,39982.14,18122.45,60428.52,523324.33,468021.51,404676.02,63345.48,55302.83,464879.71,402845.62,311651.85,91193.77,62034.09,20983.29,2378146.4
2018,Triwulan I,1373633.78,503857.9,54167.66,186132.46,95709.71,339691.64,128039.93,66034.47,29367.78,146068.56,88733.12,57335.44,820401.04,611732.91,84372.49,51113.31,15043.71,39794.44,18344.18,68765.6,553461.31,494201.62,436308.14,57893.49,59259.68,523195.61,454812.68,377388.93,77423.75,68382.93,30195.04,2498697.5
2019,Triwulan I,1442549.48,530680.73,56594.61,194291.96,101012.98,357092.58,135257.07,67619.54,34348.26,153748.38,94859.72,58888.66,861640.89,645280.75,91463.63,47346.78,14026.39,43504.46,20018.87,61523.99,547617.75,489170.45,435084.7,54085.75,58447.3,492861.99,424694.15,365085.32,59608.84,68167.84,16613.75,2625180.5
