Tahun ;PDB Triwulan ; Pengeluaran Konsumsi Rumahtangga; Pengeluaran Konsumsi LNPRT; Pengeluaran Konsumsi Pemerintah; Pembentukan Modal Tetap Domestik Bruto; Perubahan Inventori; Ekspor Barang dan Jasa; Dikurangi Impor Barang dan Jasa;Diskrepansi Statistik; PRODUK DOMESTIK BRUTO
2010;Triwulan I;926097.5;17615.77;101960.02;502873.55;25406.36;394901.82;349673.83;23175.11;1642356.3
2011;Triwulan I;964261.9;18435.36;110554.7;546295.29;63971.24;439727.76;399021.5;4506.45;1748731.2
2012;Triwulan I;1017752.39;19578.39;119114.28;584460.64;82372.21;469816.46;443128.64;5614.47;1855580.2
2013;Triwulan I;1075566.19;20854;122652;628573.64;60975.81;486240.56;456061.85;19595.15;1958395.5
2014;Triwulan I;1131854.55;25682;130084.23;662774.26;57527.38;501516.86;479140.28;28285.9;2058584.9
2015;Triwulan I;1188361.91;23612.49;133876.55;693216.77;55061.13;498372.62;466762.94;32301.47;2158040
2016;Triwulan I;1247309.52;25126.25;138468.21;725586.64;53056.15;483046.66;443518.14;35645.71;2264721
2017;Triwulan I;1308761.65;27155.66;142182.68;760189.98;60428.52;523324.33;464879.71;20983.29;2378146.4
2018;Triwulan I;1373633.78;29367.78;146068.56;820401.04;68765.6;553461.31;523195.61;30195.04;2498697.5
2019;Triwulan I;1442549.48;34348.26;153748.38;861640.89;61523.99;547617.75;492861.99;16613.75;2625180.5
2020;Triwulan I;1483329.23;32635.16;159694.34;876325.83;50546.33;549851.76;463061.4;13705.85;2703027.1
2021;Triwulan I;1450447.95;31444.18;163832.9;874465.48;61381.02;561927.5;487057.02;28003.5;2684445.5
2022;Triwulan I;1513588.99;33302.23;153026.25;910124.96;60312.02;642837.1;565273.27;71414.42;2819332.7
2023;Triwulan I;1582192;35352.96;158084.72;929315.49;62675.38;718285.81;588738.37;64371.6;2961539.6
2024;Triwulan I;1659855.12;43939.34;189559.04;964570.17;66604.94;728642.52;597333.49;57179.16;3113016.8
2010;Triwulan II;937226.82;17901.91;135089.77;523471.69;50400.53;400357.77;376099.71;20783.22;1709132
2011;Triwulan II;980156.57;18834.85;145606.7;568551.72;54630.48;480363.29;434406.63;2531.22;1816268.2
2012;Triwulan II;1034180.15;20129.08;170034.9;626152.32;67575.42;488592.47;501419.31;23773.67;1929018.7
2013;Triwulan II;1089835.21;21424;175299.71;659187.45;78636.43;498870.82;505845.09;19408.07;2036816.6
2014;Triwulan II;1146012.15;26228;172068.01;685670.41;74379.36;506111.51;507999.08;34915.24;2137385.6
2015;Triwulan II;1202958.28;24135.73;176584.36;713107.13;57014.65;504800.7;472071.45;32175;2238704.4
2016;Triwulan II;1264230.04;25759.71;187555.5;742915.46;56147.8;497198.62;455895.82;37533.69;2355445
2017;Triwulan II;1326685.98;27957.74;183934.52;782620.7;57137.14;510668.86;456855.27;41363.23;2473512.9
2018;Triwulan II;1395305.62;30421.72;193533.58;828060.11;81439.27;548583;526297.24;52806.54;2603852.6
2019;Triwulan II;1467584.81;35070.44;209471.3;865774.7;59179.55;541848.28;495399.15;51884.16;2735414.1
2020;Triwulan II;1386530.18;32340.5;195839.49;791207.14;66004.87;468226.03;390004.19;39625.2;2589769.2
2021;Triwulan II;1469141.77;33654.94;212083.75;850707.02;56016.23;601482.8;519481.59;69460.3;2773065.2
2022;Triwulan II;1550186.39;35348.66;202300.26;876982.85;53462.39;699671.72;587328.48;93817.61;2924441.4
2023;Triwulan II;1631160.42;38385.62;223483.37;917570.4;59316.93;679303.18;568340.38;94897.05;3075776.6
2024;Triwulan II;1711656.07;42217.95;226663.95;958240.08;73340.82;734844.5;612624.41;96628.84;3230967.8
2010;Triwulan III;959649.86;18489.86;154802.67;541676.74;81674.62;405394.73;389296.97;2718.39;1775109.9
2011;Triwulan III;1016155.36;19574.75;162056.68;582733.97;43030.89;491564.62;454970.14;21703.57;1881849.7
2012;Triwulan III;1071689.62;20937.46;158887.37;637811.69;34965.99;478757.77;457237.35;47819.75;1993632.3
2013;Triwulan III;1128699.25;22340;178021.36;673791.17;15726.13;485152.35;479782.79;79650.63;2103598.1
2014;Triwulan III;1186520;23627;180099.59;703109.97;43563.84;509141.53;480780.65;42062.32;2207343.6
2015;Triwulan III;1245315.92;25179.85;192869.49;737766.63;58384.68;504268.13;449673.09;-1268.11;2312843.5
2016;Triwulan III;1307794.26;26858.46;187162.02;769037.14;60856.23;474544.39;431267.72;34275.82;2429260.6
2017;Triwulan III;1372039.98;28479.96;193619.44;823497.8;46060.51;552347.63;497794.43;34046.01;2552296.9
2018;Triwulan III;1440669.1;30947.73;205734.33;880471.86;45518.35;598185.74;568282.63;51087.72;2684332.2
2019;Triwulan III;1512796.69;33238.36;207784.19;917553.03;35709.17;603451.13;519921.79;28201.93;2818812.7
2020;Triwulan III;1451572.68;32600.18;228164.91;857689.27;-7509.07;526683.23;389806.37;21086.47;2720481.3
2021;Triwulan III;1466410.51;33535.67;229749.47;889950.49;8033.24;636331;510944.03;63425.75;2816492.1
2022;Triwulan III;1545569.01;35544.14;224003.98;934275.34;15667.77;757833.24;642418.89;107450.31;2977924.9
2023;Triwulan III;1623663.56;37742.08;215206.69;988210.38;22361.27;728178.4;599024.2;108654.72;3124992.9
2024;Triwulan III;1703460.73;42152.66;225140.35;1039095.93;106911.6;794334.06;667723.62;36221.69;3279593.4
2010;Triwulan IV;963088.73;18751.33;226325.53;559818.69;-28386.91;467263.51;422649.27;-46676.71;1737534.9
2011;Triwulan IV;1016714.74;19945.38;234073.61;618778.12;-43425.27;502612.27;480423.6;-27489.05;1840786.2
2012;Triwulan IV;1072165.45;21273.69;233782.45;679304.13;-10730.52;507897;508514.22;-46325.78;1948852.2
2013;Triwulan IV;1129316.25;24000;251839.01;692822.78;-30884.81;555849.94;504177.59;-61077.98;2057687.6
2014;Triwulan IV;1186631.74;23883;254031.28;720916.13;-11887.96;531117.21;519193.91;-23944.99;2161552.5
2015;Triwulan IV;1244994.55;25871.92;272067.59;767265.46;-57612.55;497025.53;474431.48;-2251.82;2272929.2
2016;Triwulan IV;1306974.15;27617.86;261118.79;804045.44;-36660.03;516392.97;487451.47;-6850.91;2385186.8
2017;Triwulan IV;1372141.03;29071;271019.76;862454.52;-36742.61;560223.69;545289.75;-3905.74;2508971.9
2018;Triwulan IV;1441847.77;32232.61;283540.11;915377.24;1646.41;586164.85;585494.45;-36344.94;2638969.6
2019;Triwulan IV;1513468.49;33370.36;284959.13;952695.51;-26458.87;582571.09;538061.27;-32796.33;2769748.1
2020;Triwulan IV;1458791.35;32730.64;290446.83;893959.37;-57708;539180.83;443131.82;-4547.49;2709721.7
2021;Triwulan IV;1510661.62;33777.13;305653.59;934095.81;-62721.4;659107.76;587634.42;53116.8;2846056.9
2022;Triwulan IV;1578599.51;35708.6;291227.74;965190.6;-58692.95;757674.39;625773.14;44614.15;2988548.9
2023;Triwulan IV;1649237.89;42175.96;299421.62;1013619.7;-16681.21;770067.7;624845.95;6088.76;3139084.5
2024;Triwulan IV;1649237.90;42175.97;299421.63;1013619.8;-16681.22;770067.8;624845.96;6088.77;3139084.6
2010;Tahunan;3786062.9;72758.87;618177.99;2127840.68;129094.6;1667917.83;1537719.77;0;6864133.1
2011;Tahunan;3977288.56;76790.34;652291.7;2316359.1;118207.33;1914267.94;1768821.87;1252.2;7287635.3
2012;Tahunan;4195787.6;81918.62;681819;2527728.79;174183.11;1945063.7;1910299.52;30882.1;7727083.4
2013;Tahunan;4423416.91;88618;727812.07;2654375.04;124453.56;2026113.68;1945867.32;57575.86;8156497.8
2014;Tahunan;4651018.44;99420;736283.11;2772470.77;163582.63;2047887.1;1987113.92;81318.46;8564866.6
2015;Tahunan;4881630.67;98799.99;775397.99;2911355.98;112847.91;2004466.99;1862938.95;60956.52;8982517.1
2016;Tahunan;5126307.97;105362.27;774304.53;3041584.68;133400.15;1971182.64;1818133.16;100604.32;9434613.4
2017;Tahunan;5379628.64;112664.35;790756.4;3228763.01;126883.56;2146564.52;1964819.17;92486.79;9912928.1
2018;Tahunan;5651456.27;122969.84;828876.59;3444310.25;197369.64;2286394.89;2203269.94;97744.36;10425851.9
2019;Tahunan;5936399.47;136027.41;855962.99;3597664.13;129953.84;2275488.26;2046244.2;63903.51;10949155.4
2020;Tahunan;5780223.44;130306.47;874145.57;3419181.61;51334.13;2083941.85;1686003.79;69870.03;10722999.3
2021;Tahunan;5896661.85;132411.92;911319.71;3549218.8;62709.09;2458849.06;2105117.06;214006.34;11120059.7
2022;Tahunan;6187943.9;139903.63;870558.23;3686573.75;70749.22;2858016.46;2420793.78;317296.48;11710247.9
2023;Tahunan;6486253.87;153656.62;896196.41;3848715.98;127672.38;2895835.1;2380948.89;274012.13;12301393.6
2024;Tahunan;6778432.65;170462.61;866503.69;4001002.11;353768.96;3052155.14;2545405.14;226251.38;12903171.4
