Tahun;Klasifikasi; Pendapatan Negara; Penerimaan Dalam Negeri; Penerimaan Perpajakan; Pendapatan Pajak Dalam Negeri; Pendapatan Pajak Penghasilan; Pendapatan Pajak Pertambahan Nilai dan PPnBM; Pendapatan Pajak Bumi dan Bangunan; Pendapatan Pajak lainnya; Pendapatan Cukai; Pendapatan Pajak Perdagangan Internasional; Bea Masuk; Bea Keluar; Penerimaan Negara Bukan Pajak; Penerimaan SDA; Pendapatan dari Kekayaan Negara Dipisahkan; Pendapatan PNBP Lainnya; Pendapatan Badan Layanan Umum; Penerimaan Hibah; Belanja Negara; Belanja Pemerintah Pusat; Belanja Pegawai; Belanja Barang; Belanja Modal; Subsidi; Belanja Hibah; Bantuan Sosial; Belanja Lain-lain; Transfer Ke Daerah; Dana Bagi Hasil; Dana Alokasi Umum; Dana Alokasi Khusus; Dana Otonomi Khusus; Keseimbangan Primer; Surplus/Defisit Anggaran (A - B); Pembiayaan Anggaran
2010;Target;992.398,80;990.502,30;743.325,90;720.764,50;362.219,00;262.963,00;25.319,10;3.841,90;59.265,90;22.561,40;17.106,80;5.454,60;247.176,40;164.726,70;29.500,00;43.462,80;9.486,90;1.896,50;781.533,50;781.533,50;162.659,00;112.594,10;95.024,60;201.263,00;243,2;71.172,80;32.926,70;344.612,90;89.618,40;203.606,50;21.138,40;30.249,60;316.515,50;210.865,20;133.747,70
2011;Target;1.169.914,60;1.165.252,50;878.685,20;831.745,30;431.977,00;298.441,40;29.057,80;68.075,30;4.193,80;46.939,90;21.500,80;25.439,10;286.567,30;191.976,00;28.835,80;50.339,40;15.416,00;4.662,10;908.243,40;908.243,40;182.875,00;142.825,90;140.952,50;237.194,70;404,9;81.810,40;15.596,20;412.507,90;96.772,10;225.533,70;25.232,80;64.969,30;368.255,00;261.671,20;150.836,70
2012;Target;1.358.205,00;1.357.380,00;1.016.237,30;968.293,20;513.650,20;336.057,00;29.687,50;5.632,00;83.266,60;47.944,10;24.737,90;23.206,20;341.142,60;217.158,90;30.776,30;72.799,40;20.408,00;825,1;1.069.534,40;1.069.534,40;212.255,10;162.012,30;176.051,40;245.076,30;1.790,90;86.028,00;68.535,00;478.775,90;108.421,70;273.814,40;26.115,90;70.423,90;-72.319,90;-190.105,30;190.105,30
2013;Target;1.502.005,00;1.497.521,40;1.148.364,70;1.099.943,60;538.759,90;423.708,30;27.343,80;5.402,00;104.729,70;48.421,10;30.811,70;17.609,40;349.156,70;203.730,00;36.456,50;85.471,50;23.498,70;4.483,60;1.196.828,40;1.196.828,40;232.978,60;206.507,30;192.600,40;348.119,00;2.346,50;82.487,90;19.270,80;529.362,90;102.695,00;311.139,30;31.697,10;83.831,50;-111.668,40;-224.186,30;224.186,30
2014;Target;1.635.378,50;1.633.053,40;1.246.107,00;1.189.826,60;569.866,70;475.587,20;21.742,90;5.179,60;117.450,20;56.280,40;35.676,00;20.604,40;386.946,40;241.114,60;40.000,00;84.968,40;20.863,40;2.325,10;1.280.368,60;1.280.368,60;258.435,60;195.206,80;160.790,50;403.035,60;2.853,30;96.655,40;27.938,30;596.504,30;117.663,60;341.219,40;33.000,00;104.097,40;-106.041,10;-241.494,30;241.494,30
2015;Target;1.761.642,80;1.758.330,90;1.489.255,50;1.439.998,60;679.370,10;576.469,20;26.689,90;11.729,50;145.739,90;49.256,90;37.203,90;12.053,00;269.075,40;118.919,10;36.956,50;90.109,60;23.090,20;3.311,90;1.319.549,00;1.319.549,00;299.299,60;259.688,00;252.844,50;212.104,40;4.644,20;103.573,60;31.663,90;664.600,60;110.051,90;352.887,80;58.820,70;121.526,60;-66.776,10;-222.506,90;222.506,90
2016;Target;1.786.225,00;1.784.249,90;1.539.166,20;1.503.294,70;855.842,70;474.235,30;17.710,60;7.414,90;148.091,20;35.871,50;33.371,50;2.500,00;245.083,60;90.524,30;34.164,00;84.124,00;36.271,20;1.975,20;1.306.696,00;1.306.696,00;342.447,40;304.241,80;206.567,40;177.754,50;8.537,30;53.403,80;22.525,50;776.252,90;109.075,90;385.360,90;211.022,20;18.264,40;-105.505,60;-296.723,90;296.723,90
2017;Target;1.736.060,20;1.732.952,10;1.472.709,90;1.436.730,90;783.970,30;475.483,50;15.412,10;8.700,00;153.165,00;35.979,00;33.279,00;2.700,00;260.242,20;95.643,10;41.000,00;85.057,60;38.541,40;3.108,10;1.366.956,60;1.366.956,60;343.655,50;296.208,60;228.100,00;168.876,80;5.532,20;58.962,10;49.874,30;766.339,30;95.377,20;398.582,30;184.636,50;19.443,30;-178.039,30;-397.235,80;397.235,80
2018;Target;1.894.720,30;1.893.523,50;1.618.095,50;1.579.395,50;855.133,50;541.801,10;17.369,10;9.691,80;155.400,00;38.700,00;35.700,00;3.000,00;275.428,00;103.674,90;44.695,40;83.753,10;43.304,60;1.196,90;1.454.494,40;1.454.494,40;365.691,60;340.130,20;203.879,40;156.228,10;1.460,80;81.259,80;67.237,40;766.162,60;89.225,30;401.489,60;185.888,10;20.059,60;-87.329,50;-325.936,60;325.936,60
2019;Target;2.165.111,80;2.164.676,50;1.786.378,70;1.743.056,90;894.448,70;655.394,90;19.103,60;8.608,70;165.501,00;43.321,80;38.899,30;4.422,50;378.297,80;190.754,80;45.589,30;94.069,30;47.884,50;435,3;1.634.339,50;1.634.339,50;381.561,10;345.230,70;189.343,20;224.320,90;1.940,70;102.055,50;114.002,30;826.772,50;106.350,20;417.873,60;200.368,80;20.979,90;-20.114,90;-296.000,20;296.000,20
